760,PGP,PGP-5,Yawatmal,955.7 955.7,0,955.7,4819.4 16283.5 0,21102.8,4764,25866.8,388.7 1554.5 0,1943.2,144.3 270.4 0,414.7,533.0,1824.9,0,2357.8
761,PGV,PGV-1,Yawatmal,1080.0 1080.0,0,1080.0,3508.1 7369.7 0,10877.8,1190,12067.5,217.0 455.8 0,672.8,101.0 123.0 0,224.1,318.0,578.8,0,896.8
762,PGV,PGV-2,Yawatmal,0 1141.4,0,1141.4,0 5545.6 0,5545.6,3240,8785.3,0 361.7 0,361.7,0 29.5 0,29.5,0,391.2,0,391.2
763,PGV,PGV-3,Yawatmal,1141.4 1141.4,0,1141.4,930.2 16530.1 0,17460.3,2278,19738.6,119.7 2156.2 0,2275.9,60.3 40.9 0,101.2,180.0,2197.1,0,2377.2
764,PGW,PGW-1,Yawatmal,1113.3 1113.3,0,1113.3,5813.5 11584.3 0,17397.8,2524,19921.3,296.5 853.5 0,1150.0,138.5 180.5 0,319.0,435.0,1033.9,0,1469.0
765,PGW,PGW-2,Yawatmal,1113.3 1113.3,0,1113.3,2020.4 11554.8 0,13575.2,2241,15816.5,148.9 851.3 0,1000.2,124.3 185.4 0,309.7,273.1,1036.7,0,1309.9
766,PGW,PGW-3,Yawatmal,1113.3 1113.3,0,1113.3,504.3 13362.9 0,13867.2,3311,17178.0,31.4 895.8 0,927.2,2.3 249.4 0,251.7,33.7,1145.2,0,1179.0
S.no,Basin,Watershed,District,Rainfall (mm),,,Total Geographical Area (ha),,,,Ground Water Recharge (ham),,,,,,,
"",,,,,,,Recharge Worthy Area (ha),,Hilly Area,Total,Rainfall Recharge,,Recharge from other sorces,,Total,,,
"",,,,C NC,PQ,Total,C NC PQ,Total,,,C NC PQ,Total,C NC PQ,Total,C,NC,PQ,Total
767,PGW,PGW-4,Yawatmal,0 1100.7,0,1100.7,0 15154.6 0,15154.6,4430,19584.3,0 1062.0 0,1062.0,0 97.6 0,97.6,0,1159.7,0,1159.7
768,PGW,PGW-5,Yawatmal,1100.7 1100.7,0,1100.7,4738.0 8367.8 0,13105.8,1919,15024.8,439.4 1139.7 0,1579.2,235.5 69.3 0,304.8,674.9,1209.1,0,1884.0
769,PPG,PPG-1,Hingoli,0 943.0,0,943.0,0 42984.0 0,42984.0,0,42984.0,0 3834.4 0,3834.4,0 1371.3 0,1371.3,0,5205.7,0,5205.7
770,PPG,PPG-10,Hingoli,984.0 984.0,0,984.0,3069.0 847.0 0,3916.0,0,3916.0,374.5 70.0 0,444.5,185.4 126.5 0,311.9,559.9,196.5,0,756.4
771,PPG,PPG-11,Hingoli,984.0 984.0,0,984.0,14767.0 11185.0 0,25952.0,0,25952.0,1492.2 1168.5 0,2660.7,1475.5 738.7 0,2214.2,2967.8,1907.1,0,4874.9
772,PPG,PPG-2,Hingoli,0 943.0,0,943.0,0 2642.0 0,2642.0,2000,4642.0,0 309.4 0,309.4,0 64.2 0,64.2,0,373.6,0,373.6
773,PPG,PPG-3,Hingoli,943.0 943.0,0,943.0,3990.0 24427.0 0,28417.0,0,28417.0,383.6 2495.8 0,2879.4,505.7 651.3 0,1157.0,889.3,3147.1,0,4036.5
774,PPG,PPG-4,Hingoli,943.0 943.0,0,943.0,8193.0 13200.0 0,21393.0,0,21393.0,959.4 1266.2 0,2225.6,317.0 805.7 0,1122.7,1276.4,2071.9,0,3348.3
775,PPG,PPG-5,Hingoli,943.0 943.0,0,943.0,8307.0 11429.0 0,19736.0,0,19736.0,682.0 1248.0 0,1930.0,662.0 349.0 0,1011.0,1344.0,1597.0,0,2940.9
776,PPG,PPG-6,Hingoli,943.0 943.0,0,943.0,3959.0 36077.0 0,40036.0,0,40036.0,450.8 4224.5 0,4675.3,340.0 767.1 0,1107.1,790.8,4991.6,0,5782.4
777,PPG,PPG-7,Hingoli,943.0 943.0,0,943.0,5714.0 31965.0 0,37679.0,0,37679.0,501.7 3743.0 0,4244.7,716.5 1004.6 0,1721.1,1218.2,4747.6,0,5965.8
778,PPG,PPG-8,Hingoli,984.0 984.0,0,984.0,2553.0 21772.0 0,24325.0,0,24325.0,221.6 2656.9 0,2878.5,395.2 803.5 0,1198.7,616.8,3460.4,0,4077.2
779,PPG,PPG-9,Hingoli,984.0 984.0,0,984.0,6617.0 21914.0 0,28531.0,0,28531.0,667.0 2674.3 0,3341.2,729.6 502.6 0,1232.2,1396.5,3176.9,0,4573.4
780,PR,PR-1,Gadchiroli,0 1096.4,0,1096.4,0 12995.0 0,12995.0,5570,18565.0,0 1846.5 0,1846.5,0 241.4 0,241.4,0,2087.9,0,2087.9
781,PR,PR-2,Gadchiroli,0 1096.4,0,1096.4,0 13119.0 0,13119.0,10732,23851.0,0 1601.4 0,1601.4,0 223.4 0,223.4,0,1824.8,0,1824.8
782,PR,PR-3,Gadchiroli,0 1254.1,0,1254.1,0 15231.0 0,15231.0,3808,19039.0,0 1375.3 0,1375.3,0 17.4 0,17.4,0,1392.7,0,1392.7
783,PR,PR-4,Gadchiroli,0 1254.1,0,1254.1,0 21930.0 0,21930.0,21931,43861.0,0 2085.5 0,2085.5,0 151.9 0,151.9,0,2237.4,0,2237.4
784,PR,PR-5,Chandrapur,0 1281.0,0,1281.0,0 3125.0 0,3125.0,11563,14688.0,0 224.2 0,224.2,0 53.5 0,53.5,0,277.7,0,277.7
785,PR,PR-6,Chandrapur,0 1281.0,0,1281.0,0 3718.0 0,3718.0,1811,5529.0,0 319.0 0,319.0,0 33.5 0,33.5,0,352.5,0,352.5
786,PRD,PRD-0,Gadchiroli,0 1254.1,0,1254.1,0 15958.0 0,15958.0,15958,31916.0,0 1365.2 0,1365.2,0 73.3 0,73.3,0,1438.5,0,1438.5
787,PRD,PRD-1,Gadchiroli,1231.3 1231.3,0,1231.3,192.7 14224.4 0,14417.1,1602,16019.0,17.1 1513.2 0,1530.3,183.0 174.1 0,357.1,200.1,1687.3,0,1887.4
788,PRD,PRD-2,Gadchiroli,0 1254.1,0,1254.1,0 7479.0 0,7479.0,0,7479.0,0 549.2 0,549.2,0 47.4 0,47.4,0,596.7,0,596.7
789,PRD,PRD-3,Gadchiroli,0 1204.2,0,1204.2,0 21671.0 0,21671.0,7223,28894.0,0 2254.8 0,2254.8,0 81.8 0,81.8,0,2336.6,0,2336.6
790,PRDC,PRDC-0,Gadchiroli,0 1231.3,0,1231.3,0 11223.0 0,11223.0,1980,13203.0,0 1029.9 0,1029.9,0 117.3 0,117.3,0,1147.2,0,1147.2
791,PRDP,PRDP-0,Gadchiroli,0 1208.4,0,1208.4,0 10778.0 0,10778.0,4619,15397.0,0 1089.5 0,1089.5,0 152.9 0,152.9,0,1242.3,0,1242.3
792,PRDW,PRDW-0,Gadchiroli,0 1231.3,0,1231.3,0 15657.0 0,15657.0,8430,24087.0,0 1143.4 0,1143.4,0 156.8 0,156.8,0,1300.2,0,1300.2
793,PRJ,PRJ-0,Chandrapur,0 1281.0,0,1281.0,0 12700.0 0,12700.0,4966,17666.0,0 925.0 0,925.0,0 98.4 0,98.4,0,1023.3,0,1023.3
794,PRM,PRM-0,Gadchiroli,0 1106.5,0,1106.5,0 25806.0 0,25806.0,2867,28673.0,0 2340.7 0,2340.7,0 244.7 0,244.7,0,2585.4,0,2585.4
795,PRT,PRT-0,Gadchiroli,0 1175.3,0,1175.3,0 19196.0 0,19196.0,6398,25594.0,0 2047.7 0,2047.7,0 145.1 0,145.1,0,2192.8,0,2192.8
796,PT,PT,Jalgaon,596.3 596.3,0,596.3,253.0 24481.0 0,24734.0,0,24734.0,16.1 1470.0 0,1486.1,128.7 563.3 0,692.0,144.9,2033.2,0,2178.1
797,PT,PT,Jalgaon,0 596.3,0,596.3,0 7433.0 0,7433.0,0,7433.0,0 568.6 0,568.6,0 124.4 0,124.4,0,693.1,0,693.1
798,PT,PT-1,Amravati,0 1223.0,0,1223.0,0 425.0 0,425.0,520,945.0,0 23.3 0,23.3,0 8.7 0,8.7,0,32.0,0,32.0
799,PT,PT-10,Buldhana,0 695.0,688.5,693.9,0 22718.0 4480.0,27198.0,1618,28816.0,0 1263.1 354.4,1617.5,0 701.3 21.0,722.3,0,1964.5,375.4,2339.8
800,PT,PT-11,Buldhana,682.0 682.0,682.0,682.0,356.0 25367.0 4500.0,30223.0,2633,32856.0,23.3 1987.6 294.6,2305.6,24.9 1052.7 6.7,1084.4,48.2,3040.4,301.4,3390.0
801,PT,PT-12,Buldhana,682.0 682.0,0,682.0,796.0 19562.0 0,20358.0,1718,22076.0,62.4 1532.8 0,1595.2,74.7 389.9 0,464.5,137.0,1922.6,0,2059.7
802,PT,PT-13,Jalgaon,0 596.3,0,596.3,0 18234.0 0,18234.0,0,18234.0,0 1256.4 0,1256.4,0 598.6 0,598.6,0,1855.0,0,1855.0
803,PT,PT-13,Buldhana,0 736.0,0,736.0,0 5144.0 0,5144.0,118,5262.0,0 473.0 0,473.0,6.2 130.3 0,136.5,6.2,603.3,0,609.4
804,PT,PT-14,Buldhana,736.0 736.0,0,736.0,2476.0 8945.0 0,11421.0,0,11421.0,227.7 822.5 0,1050.1,305.7 182.7 0,488.4,533.3,1005.2,0,1538.5
805,PT,PT-15,Buldhana,718.0 718.0,718.0,718.0,144.0 17039.0 1648.0,18831.0,0,18831.0,10.9 1542.2 124.3,1677.4,26.0 485.8 4.5,516.3,36.9,2028.0,128.8,2193.7
806,PT,PT-16,Buldhana,0 718.0,718.0,718.0,0 4726.0 300.0,5026.0,0,5026.0,0 329.0 25.1,354.1,0 68.0 9.5,77.5,0,397.0,34.6,431.6
807,PT,PT-17,Akola,0 730.2,0,730.2,0 20872.0 0,20872.0,0,20872.0,0 853.5 0,853.5,0 72.4 0,72.4,0,925.9,0,925.9
808,PT,PT-18,Akola,820.2 820.2,820.2,820.2,1141.0 18217.0 8148.0,27506.0,678,28184.0,62.7 1000.8 534.6,1598.1,81.0 156.5 3.0,240.6,143.7,1157.3,537.6,1838.7
809,PT,PT-19,Akola,820.2 820.2,820.2,820.2,5210.0 10396.0 8496.0,24102.0,0,24102.0,286.2 571.1 557.5,1414.8,98.9 44.2 0,143.2,385.1,615.4,557.5,1558.0
810,PT,PT-2,Amravati,0 748.0,849.0,774.3,0 15448.0 5427.0,20875.0,0,20875.0,0 1329.2 525.8,1855.0,0.5 218.7 15.8,235.0,0.5,1547.9,541.6,2090.0
811,PT,PT-20,Amravati,0 748.0,757.0,748.2,0 16588.0 392.0,16980.0,0,16980.0,0 1191.2 23.7,1214.9,0 191.8 20.8,212.6,0,1383.0,44.5,1427.5
812,PT,PT-20,Akola,821.8 821.8,0,821.8,527.1 22329.9 0,22857.0,182,23039.0,29.3 1239.1 0,1268.4,22.6 319.1 0,341.7,51.9,1558.2,0,1610.1
813,PT,PT-3,Amravati,0 0.0,649.0,649.0,0 0.0 26042.0,26042.0,0,26042.0,0 0 1614.7,1614.7,0 0.0 0,0,0,0,1614.7,1614.7
814,PT,PT-4,Akola,0 821.8,0,821.8,0 136.0 0,136.0,0,136.0,0 10.8 0,10.8,0 1.2 0,1.2,0,11.9,0,11.9
815,PT,PT-4,Amravati,0 1123.5,0,1123.5,0 73.0 0,73.0,7704,7777.0,0 5.6 0,5.6,0 0.7 0,0.7,0,6.2,0,6.2
816,PT,PT-5,Akola,0 768.4,768.4,762.7,145.0 17310.0 2108.0,19563.0,367,19930.0,0 1527.2 155.0,1682.2,39.9 284.5 3.5,328.0,39.9,1811.8,158.5,2010.2
817,PT,PT-6,Amravati,0 1597.0,0,1597.0,0 69.0 0,69.0,6172,6241.0,0 6.4 0,6.4,0 5.2 0,5.2,0,11.5,0,11.5
818,PT,PT-6,Akola,0 768.4,768.4,768.4,0 14362.0 939.0,15301.0,173,15474.0,0 1055.9 57.7,1113.7,0 230.8 1.8,232.6,0,1286.7,59.5,1346.2
819,PT,PT-7,Akola,733.0 733.0,733.0,733.0,9792.0 40015.0 3619.0,53426.0,323,53749.0,703.5 2874.8 216.7,3795.0,1610.7 727.8 6.4,2344.9,2314.2,3602.6,223.1,6139.9
820,PT,PT-8,Buldhana,695.0 695.0,0,695.0,600.0 2506.0 0,3106.0,0,3106.0,40.0 200.1 0,240.1,48.0 36.0 0,84.0,88.0,236.1,0,324.1
821,PT,PT-8,Akola,733.0 733.0,0,733.0,4273.6 2498.4 0,6772.0,0,6772.0,307.0 179.5 0,486.5,986.2 16.5 0,1002.7,1293.3,196.0,0,1489.2
822,PT,PT-9,Buldhana,0 695.0,695.0,695.0,0 2189.0 69.0,2258.0,0,2258.0,0 146.1 4.6,150.7,0.4 22.3 0.4,23.0,0.4,168.3,5.0,173.7
823,PTB,PTB-1,Amravati,0 1337.0,0,1337.0,0 100.0 0,100.0,1039,1139.0,0 7.6 0,7.6,0 0.0 0,0,0,7.6,0,7.6
824,PTB,PTB-1,Buldhana,695.0 695.0,0,695.0,3859.0 16983.0 0,20842.0,2928,23770.0,257.5 1355.9 0,1613.3,257.2 358.1 0,615.3,514.7,1714.0,0,2228.6
825,PTB,PTB-1,Akola,733.0 733.0,0,733.0,1524.0 190.0 0,1714.0,270,1984.0,109.5 13.7 0,123.1,284.5 2.8 0,287.3,394.0,16.5,0,410.4
826,PTB,PTB-2,Amravati,0 1467.0,0,1467.0,0 1125.0 0,1125.0,23821,24946.0,0 94.9 0,94.9,0 15.8 0,15.8,0,110.7,0,110.7
827,PTC,PTC-1,Amravati,849.0 1597.0,649.0,1177.8,2678.0 15363.0 10512.0,28553.0,10600,39153.0,218.3 1417.7 545.8,2181.8,772.8 424.3 12.6,1209.7,991.1,1842.0,558.4,3391.4
828,PTC,PTC-2,Amravati,749.5 735.0,649.0,727.3,4507.0 23261.0 3582.0,31350.0,2591,33941.0,385.5 1641.3 186.0,2212.8,1522.2 391.5 0,1913.6,1907.7,2032.8,186.0,4126.4
829,PTC,PTC-3,Amravati,0 0.0,649.0,649.0,0 0.0 4392.0,4392.0,0,4392.0,0 0 272.3,272.3,0 0.0 14.9,14.9,0,0,287.2,287.2
830,PTCS,PTCS-1,Amravati,849.0 849.0,0,849.0,4897.0 16198.0 0,21095.0,8760,29855.0,399.1 1320.2 0,1719.3,180.0 456.8 0,636.8,579.1,1777.0,0,2356.1
831,PTCS,PTCS-2,Amravati,0 748.0,649.0,727.3,0 18039.0 4771.0,22810.0,0,22810.0,0 1295.4 247.7,1543.1,6.6 604.9 7.6,619.1,6.6,1900.3,255.3,2162.1
832,PTG,PTG-0,Amravati,0 650.0,649.0,649.6,0 10287.0 7604.0,17891.0,0,17891.0,0 534.9 394.8,929.7,0 31.5 23.8,55.3,0,566.4,418.6,985.0
833,PTG,PTG-1,Buldhana,717.5 717.5,0,717.5,653.0 15285.0 0,15938.0,2017,17955.0,48.8 1371.7 0,1420.5,111.4 365.5 0,476.9,160.2,1737.2,0,1897.4
834,PTG,PTG-2,Buldhana,717.0 717.0,0,717.0,178.0 7223.0 0,7401.0,1323,8724.0,10.6 538.6 0,549.3,24.8 135.9 0,160.7,35.5,674.5,0,709.9
835,PTG,PTG-3,Buldhana,0 805.0,0,805.0,0 13175.0 0,13175.0,4856,18031.0,0 1123.8 0,1123.8,0 448.9 0,448.9,0,1572.6,0,1572.6
836,PTG,PTG-4,Buldhana,0 717.0,0,717.0,0 6457.0 0,6457.0,3973,10430.0,0 413.0 0,413.0,34.1 193.2 0,227.4,34.1,606.2,0,640.4
837,PTG,PTG-5,Buldhana,717.0 717.0,0,717.0,4579.0 11355.0 0,15934.0,0,15934.0,309.1 678.4 0,987.4,384.4 280.4 0,664.8,693.5,958.7,0,1652.2
838,PTGB,PTGB-1,Buldhana,717.0 723.5,0,723.1,1145.0 19503.0 0,20648.0,4083,24731.0,102.4 1469.6 0,1572.0,115.8 278.4 0,394.2,218.2,1748.0,0,1966.2
839,PTGI,PTGI-1,Buldhana,0 730.0,730.0,730.0,0 8032.0 2565.0,10597.0,0,10597.0,0 397.4 181.3,578.7,0 62.0 2.8,64.7,0,459.4,184.0,643.4
840,PTGID,PTGID-1,Buldhana,0 730.0,730.0,730.0,0 4353.0 1704.0,6057.0,0,6057.0,0 400.0 120.4,520.4,0 45.9 0.2,46.1,0,445.9,120.6,566.5
841,PTGIM,PTGIM-1,Buldhana,0 723.5,0,723.5,0 14506.0 0,14506.0,0,14506.0,0 972.8 0,972.8,0 229.9 0,229.9,0,1202.7,0,1202.7
842,PTK,PTK-1,Akola,748.3 748.3,0,748.3,1812.0 14178.0 0,15990.0,1504,17494.0,168.9 1274.1 0,1443.0,131.6 325.9 0,457.5,300.5,1600.0,0,1900.5
843,PTK,PTK-2 B,Akola,0 748.3,0,748.3,0 6501.0 0,6501.0,1018,7519.0,0 272.4 0,272.4,0 156.8 0,156.8,0,429.3,0,429.3
844,PTK,PTK-2 B,Washim,1076.0 1076.0,0,1076.0,863.0 12973.0 0,13836.0,760,14596.0,62.3 936.5 0,998.8,196.6 462.3 0,658.9,258.9,1398.8,0,1657.7
845,PTK,PTK-3 B,Akola,748.3 748.3,0,748.3,161.0 3298.0 0,3459.0,1111,4570.0,12.5 138.2 0,150.7,2.7 85.1 0,87.8,15.2,223.3,0,238.5
846,PTK,PTK-3 B,Washim,1076.0 1076.0,0,1076.0,1672.4 24498.6 0,26171.0,1903,28074.0,120.7 1768.6 0,1889.3,328.5 497.2 0,825.7,449.2,2265.8,0,2715.0
847,PTK,PTK-4 B,Akola,748.3 748.3,0,748.3,1798.0 8989.0 0,10787.0,3194,13981.0,112.3 699.6 0,811.8,117.7 222.0 0,339.7,229.9,921.6,0,1151.5
848,PTK,PTK-4 B,Washim,0 864.0,0,864.0,0 106.3 0,106.3,1983,2089.0,0 8.2 0,8.2,0 21.0 0,21.0,0,29.3,0,29.3
849,PTKP,PTKP-1 B,Washim,864.0 864.0,0,864.0,400.2 5743.8 0,6144.0,147,6291.0,28.8 516.1 0,544.9,115.5 263.6 0,379.1,144.2,779.8,0,924.0
850,PTKP,PTKP-1 B,Akola,748.3 748.3,0,748.3,2527.0 18364.0 0,20891.0,3438,24329.0,157.8 1429.2 0,1587.0,111.8 392.4 0,504.2,269.6,1821.5,0,2091.2
851,PTM,PTM-1,Akola,730.2 730.2,0,730.2,340.0 4794.0 0,5134.0,0,5134.0,13.9 364.1 0,378.0,13.9 62.0 0,75.8,27.8,426.0,0,453.8
852,PTM,PTM-2,Akola,801.1 801.1,0,801.1,371.0 9242.0 0,9613.0,0,9613.0,25.4 950.1 0,975.5,110.2 112.6 0,222.8,135.6,1062.7,0,1198.3
S.no,Basin,Watershed,District,Rainfall (mm),,,Total Geographical Area (ha),,,,Ground Water Recharge (ham),,,,,,,
"",,,,,,,Recharge Worthy Area (ha),,Hilly Area,Total,Rainfall Recharge,,Recharge from other sorces,,Total,,,
"",,,,C NC,PQ,Total,C NC PQ,Total,,,C NC PQ,Total,C NC PQ,Total,C,NC,PQ,Total
853,PTM,PTM-2,Buldhana,0 844.0,0,844.0,0 3573.0 0,3573.0,454,4027.0,0 326.8 0,326.8,0 85.4 0,85.4,0,412.1,0,412.1
854,PTM,PTM-3,Buldhana,805.0 805.0,0,805.0,232.0 24488.0 0,24720.0,6807,31527.0,19.4 1981.3 0,2000.7,57.6 645.0 0,702.6,77.0,2626.3,0,2703.3
855,PTM,PTM-3,Akola,0 801.1,0,801.1,0 786.0 0,786.0,0,786.0,0 67.3 0,67.3,0 6.0 0,6.0,0,73.4,0,73.4
856,PTM,PTM-4,Akola,730.2 730.2,0,730.2,674.0 4829.0 0,5503.0,36,5539.0,33.1 236.9 0,270.0,65.0 54.2 0,119.2,98.0,291.1,0,389.1
857,PTMB,PTMB-1,Akola,0 730.2,0,730.2,0 763.0 0,763.0,0,763.0,0 31.2 0,31.2,0 1.8 0,1.8,0,33.0,0,33.0
858,PTMB,PTMB-1,Buldhana,717.0 717.0,730.0,722.0,1725.0 13884.0 9762.0,25371.0,1896,27267.0,103.1 1091.4 575.0,1769.4,173.2 294.8 15.6,483.6,276.2,1386.2,590.6,2253.0
859,PTMM,PTMM-1,Akola,0 730.2,0,730.2,0 2572.0 0,2572.0,0,2572.0,0 180.2 0,180.2,0 13.1 0,13.1,0,193.3,0,193.3
860,PTMM,PTMM-1,Buldhana,717.0 717.0,0,717.0,3698.0 19732.0 0,23430.0,7366,30796.0,330.6 1471.4 0,1802.0,384.0 563.9 0,947.9,714.6,2035.3,0,2749.9
861,PTMN,PTMN-1,Buldhana,0 844.0,0,844.0,0 4146.0 0,4146.0,1064,5210.0,0 307.9 0,307.9,0 120.2 0,120.2,0,428.1,0,428.1
862,PTMN,PTMN-1 B,Akola,0 801.1,0,801.1,0 2920.7 0,2920.7,4412,7333.0,0 161.7 0,161.7,0 123.0 0,123.0,0,284.7,0,284.7
863,PTMN,PTMN-1 B,Washim,0 1076.0,0,1076.0,0 6827.3 0,6827.3,3724,10551.0,0 492.9 0,492.9,0 143.7 0,143.7,0,636.6,0,636.6
864,PTMN,PTMN-2,Akola,801.1 801.1,0,801.1,4517.5 14931.5 0,19449.0,4049,23498.0,387.0 1285.0 0,1672.0,129.9 292.9 0,422.8,516.9,1577.9,0,2094.8
865,PTMN,PTMN-3,Akola,801.1 801.1,0,801.1,2097.2 19843.8 0,21941.0,2192,24133.0,143.7 2040.0 0,2183.7,169.6 464.6 0,634.2,313.3,2504.6,0,2818.0
866,PTMT,PTMT-1,Akola,0 730.2,0,730.2,0 1684.0 0,1684.0,0,1684.0,0 98.4 0,98.4,0.4 56.1 0,56.5,0.4,154.5,0,154.9
867,PTMT,PTMT-1,Buldhana,717.0 717.0,0,717.0,3525.0 14390.0 0,17915.0,7918,25833.0,230.3 977.8 0,1208.0,283.1 287.1 0,570.3,513.4,1264.9,0,1778.3
868,PTMU,PTMU-1,Buldhana,844.0 844.0,0,844.0,3548.0 12998.0 0,16546.0,5474,22020.0,313.9 1380.0 0,1693.9,75.4 310.7 0,386.1,389.3,1690.7,0,2080.0
869,PTMU,PTMU-1,Akola,0 801.1,0,801.1,0 4256.0 0,4256.0,80,4336.0,0 311.9 0,311.9,0 82.8 0,82.8,0,394.7,0,394.7
870,PTN,PTN-1,Buldhana,753.0 753.0,0,753.0,339.0 20194.0 0,20533.0,807,21340.0,14.4 1025.8 0,1040.1,41.5 434.1 0,475.6,55.9,1459.8,0,1515.7
871,PTN,PTN-2,Buldhana,753.0 753.0,0,753.0,3578.0 18295.0 0,21873.0,3477,25350.0,181.7 929.3 0,1111.0,277.0 563.7 0,840.7,458.7,1493.0,0,1951.7
872,PTN,PTN-3,Buldhana,0 753.0,0,753.0,0 7154.0 0,7154.0,7794,14948.0,0 674.9 0,674.9,0 289.2 0,289.2,0,964.1,0,964.1
873,PTP,PTP-1,Amravati,977.0 748.0,748.0,757.0,1449.0 32602.0 2788.0,36839.0,0,36839.0,162.8 2341.1 200.2,2704.1,585.3 344.2 28.9,958.4,748.1,2685.3,229.1,3662.5
874,PTP,PTP-2,Amravati,0 748.0,748.0,748.0,0 24059.0 4081.0,28140.0,0,28140.0,0 2070.2 244.2,2314.4,3.0 122.8 23.0,148.8,3.0,2193.0,267.2,2463.1
875,PTP,PTP-2,Akola,0 821.8,0,821.8,0 1221.0 0,1221.0,4,1225.0,0 80.7 0,80.7,0 1.2 0,1.2,0,81.8,0,81.8
876,PTP,PTP-3,Amravati,0 748.0,757.0,756.4,0 1329.0 19590.0,20919.0,0,20919.0,0 79.5 1418.4,1498.0,0 1.3 50.3,51.6,0,80.8,1468.7,1549.6
877,PTP,PTP-3,Akola,0 821.8,0,821.8,0 1884.0 0,1884.0,35,1919.0,0 149.4 0,149.4,0 15.3 0,15.3,0,164.6,0,164.6
878,PTP,PTP-4,Amravati,0 837.3,748.0,833.9,0 22386.0 894.0,23280.0,3731,27011.0,0 1864.5 0,1864.5,12.8 341.1 6.8,360.7,12.8,2205.6,6.8,2225.2
879,PTP,PTP-4,Akola,0 821.8,0,821.8,0 1741.0 0,1741.0,0,1741.0,0 179.4 0,179.4,0 37.5 0,37.5,0,216.9,0,216.9
880,PTP,PTP-5,Amravati,0 871.5,748.0,813.2,0 4628.0 4140.0,8768.0,1211,9979.0,0 337.4 0,337.4,0 16.2 22.0,38.1,0,353.5,22.0,375.5
881,PTP,PTP-6,Amravati,977.0 977.0,748.0,966.0,465.0 35371.0 1808.0,37644.0,5114,42758.0,44.0 3594.0 129.8,3767.8,108.7 888.4 5.1,1002.2,152.6,4482.4,134.9,4770.0
882,PTR,PTR-1,Akola,0 820.2,820.2,820.2,0 10708.0 4331.0,15039.0,23,15062.0,0 588.3 339.9,928.1,0 142.6 0.6,143.2,0,730.9,340.5,1071.3
883,PTR,PTR-2,Akola,820.2 820.2,0,820.2,774.4 26281.6 0,27056.0,160,27216.0,79.0 1443.8 0,1522.8,22.7 268.0 0,290.8,101.7,1711.8,0,1813.6
884,PTR,PTR-3 B,Washim,1076.0 1076.0,0,1076.0,920.7 9694.3 0,10615.0,2765,13380.0,66.5 699.8 0,766.3,202.9 497.1 0,699.9,269.3,1196.9,0,1466.2
885,PTR,PTR-3 B,Akola,820.2 820.2,0,820.2,4093.5 21228.5 0,25322.0,3112,28434.0,188.0 975.1 0,1163.1,155.6 325.9 0,481.5,343.6,1300.9,0,1644.6
886,PTR,PTR-4,Akola,0 748.3,748.3,748.3,0 22343.0 5127.0,27470.0,448,27918.0,0 1601.8 306.9,1908.8,0 351.2 8.3,359.5,0,1953.1,315.2,2268.3
887,PTS,PTS-1,Amravati,650.0 1597.0,650.0,1024.5,2065.0 11686.0 15799.0,29550.0,10045,39595.0,153.2 1078.4 985.9,2217.5,1270.0 193.1 53.3,1516.4,1423.2,1271.5,1039.1,3733.9
888,PTS,PTS-1,Akola,0 0.0,820.2,820.2,0 0.0 7230.0,7230.0,0,7230.0,0 0 474.4,474.4,0 0.0 3.2,3.2,0,0,477.6,477.6
889,PTSB,PTSB-1,Amravati,650.0 650.0,649.0,649.9,3656.0 22277.0 3401.0,29334.0,10697,40031.0,226.0 1158.4 176.6,1561.0,692.7 320.3 7.9,1020.8,918.7,1478.7,184.5,2581.8
890,PTSB,PTSB-1,Akola,768.4 768.4,768.4,768.4,1330.7 6569.3 147.0,8047.0,219,8266.0,98.2 579.6 9.0,686.8,84.0 65.1 0,149.1,182.2,644.7,9.0,835.9
891,PTSP,PTSP-1,Akola,768.4 768.4,768.4,768.4,2081.5 19903.5 6436.0,28421.0,98,28519.0,183.7 1223.5 473.2,1880.4,124.1 86.6 20.1,230.7,307.7,1310.1,493.3,2111.1
892,PTSP,PTSP-1,Amravati,0 0.0,649.0,649.0,0 0.0 1502.0,1502.0,0,1502.0,0 0 78.0,78.0,0 0.0 1.8,1.8,0,0,79.8,79.8
893,PTU,PTU-1 B,Washim,836.0 836.0,0,836.0,635.3 10930.5 0,11565.8,1188,12754.0,35.9 618.3 0,654.2,259.8 252.9 0,512.8,295.8,871.2,0,1167.0
894,PTU,PTU-1 B,Akola,821.8 821.8,821.8,821.8,2516.9 18694.3 333.0,21544.2,341,21885.0,93.1 691.6 15.4,800.1,152.5 187.9 0.9,341.3,245.6,879.5,16.3,1141.4
895,PTU,PTU-2,Amravati,0 769.0,0,769.0,0 82.0 0,82.0,0,82.0,0 6.6 0,6.6,0 0.0 0,0,0,6.6,0,6.6
896,PTU,PTU-2 B,Akola,821.8 821.8,821.8,821.8,307.0 24370.0 75.0,24752.0,367,25119.0,11.6 1352.3 6.0,1369.9,61.0 489.6 8.3,558.9,72.6,1841.9,14.3,1928.8
897,PTU,PTU-2 B,Washim,836.0 836.0,0,836.0,39.9 9204.1 0,9244.0,0,9244.0,2.3 433.9 0,436.1,10.0 149.3 0,159.3,12.3,583.2,0,595.4
