0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
10,Basalt,BS01,"Basic Rocks (Basalt) - Massive 
Poorly Jointed","Mesozoic to  
Cenozoic",0.35,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Basalt,BS02,"Ultra Basic - Weathered, Vesicular 
or Jointed","Mesozoic to  
Cenozoic",2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Basalt,BS02,"Ultra Basic - Massive Poorly 
Jointed","Mesozoic to  
Cenozoic",0.35,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Sandstone,ST01,Sandstone/Conglomerate,"Upper 
Palaeozoic to 
Cenozoic",3,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Sandstone,ST02,Sandstone with Shale,"Upper 
Palaeozoic to 
Cenozoic",3,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Sandstone,ST03,Sandstone with shale/ coal beds,"Upper 
Palaeozoic to 
Cenozoic",3,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Sandstone,ST04,Sandstone with Clay,"Upper 
Palaeozoic to 
Cenozoic",3,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Sandstone,ST05,Sandstone/Conglomerate,"Proterozoic to 
Cenozoic",3,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Sandstone,ST06,Sandstone with Shale,"Proterozoic to 
Cenozoic",3,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Shale,SH01,Shale with limestone,"Upper 
Palaeozoic to 
Cenozoic",1.5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Shale,SH02,Shale with Sandstone,"Upper 
Palaeozoic to 
Cenozoic",1.5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Shale,SH03,"Shale, limestone and sandstone","Upper 
Palaeozoic to 
Cenozoic",1.5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Shale,SH04,Shale,"Upper 
Palaeozoic to 
Cenozoic",1.5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Shale,SH05,Shale/Shale with Sandstone,"Proterozoic to 
Cenozoic",1.5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sl. 
No.","Principal 
Aquifer",Major Aquifers,,Age,Recommended (%),"Minimum 
(%)","Maximum 
(%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Code,Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Shale,SH06,Shale with Limestone,"Proterozoic to 
Cenozoic",1.5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Limestone,LS01,Miliolitic Limestone,Quarternary,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Limestone,LS01,KarstifiedMiliolitic Limestone,Quarternary,10,5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Limestone,LS02,Limestone / Dolomite,"Upper 
Palaeozoic to 
Cenozoic",2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Limestone,LS02,Karstified Limestone / Dolomite,"Upper 
Palaeozoic to 
Cenozoic",10,5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Limestone,LS03,Limestone/Dolomite,Proterozoic,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Limestone,LS03,Karstified Limestone/Dolomite,Proterozoic,10,5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Limestone,LS04,Limestone with Shale,Proterozoic,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Limestone,LS04,Karstified Limestone with Shale,Proterozoic,10,5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Limestone,LS05,Marble,"Azoic to 
Proterozoic",2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Limestone,LS05,Karstified Marble,"Azoic to 
Proterozoic",10,5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Granite,GR01,"Acidic Rocks (Granite,Syenite, 
Rhyolite etc.) - Weathered , 
Jointed","Mesozoic to 
Cenozoic",1.5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Granite,GR01,"Acidic Rocks (Granite,Syenite, 
Rhyolite etc.)-Massive or Poorly 
Fractured","Mesozoic to 
Cenozoic",0.35,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Granite,GR02,"Acidic Rocks (Pegmatite, Granite, 
Syenite, Rhyolite etc.) - 
Weathered, Jointed","Proterozoic  to  
Cenozoic",3,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Granite,GR02,"Acidic Rocks (Pegmatite, Granite, 
Syenite, Rhyolite etc.) - Massive, 
Poorly Fractured","Proterozoic  to  
Cenozoic",0.35,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Schist,SC01,"Schist - Weathered, Jointed","Azoic to 
Proterozoic",1.5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Schist,SC01,"Schist - Massive, Poorly Fractured","Azoic to 
Proterozoic",0.35,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Schist,SC02,Phyllite,"Azoic to 
Proterozoic",1.5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Schist,SC03,Slate,"Azoic to 
Proterozoic",1.5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Quartzite,QZ01,"Quartzite - Weathered, Jointed","Proterozoic to 
Cenozoic",1.5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Quartzite,QZ01,"Quartzite - Massive, Poorly 
Fractured","Proterozoic to 
Cenozoic",0.3,0.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Quartzite,QZ02,"Quartzite - Weathered, Jointed","Azoic to 
Proterozoic",1.5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Quartzite,QZ02,"Quartzite- Massive, Poorly 
Fractured","Azoic to 
Proterozoic",0.3,0.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Charnockite,CK01,"Charnockite - Weathered, Jointed  Azoic",,3,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Charnockite,CK01,"Charnockite - Massive, Poorly 
Fractured",Azoic,0.3,0.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Khondalite,KH01,"Khondalites, Granulites - 
Weathered, Jointed",Azoic,1.5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Khondalite,KH01,"Khondalites, Granulites - Mssive, 
Poorly Fractured",Azoic,0.3,0.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"Banded 
Gneissic 
Complex",BG01,"Banded Gneissic Complex - 
Weathered, Jointed",Azoic,1.5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"Banded 
Gneissic 
Complex",BG01,"Banded Gneissic Complex - 
Massive, Poorly Fractured",Azoic,0.3,0.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Gneiss,GN01,"Undifferentiated 
metasedimentaries/ 
Undifferentiated metamorphic - 
Weathered, Jointed","Azoic to 
Proterozoic",1.5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Gneiss,GN01,"Undifferentiated 
metasedimentaries/ 
Undifferentiated metamorphic - 
Massive, Poorly Fractured","Azoic to 
Proterozoic",0.3,0.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Gneiss,GN02,"Gneiss -Weathered, Jointed","Azoic to 
Proterozoic",3,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Gneiss,GN02,"Gneiss-Massive, Poorly Fractured","Azoic to 
Proterozoic",0.3,0.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Gneiss,GN03,"Migmatitic Gneiss - Weathered, 
Jointed",Azoic,1.5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Gneiss,GN03,"Migmatitic Gneiss - Massive, 
Poorly Fractured",Azoic,0.3,0.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sl. 
No.","Principal 
Aquifer",Major Aquifers,,Age,Recommended (%),"Minimum 
(%)","Maximum 
(%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Code,Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Intrusive,IN01,"Basic Rocks (Dolerite, Anorthosite 
etc.) - Weathered, Jointed","Proterozoic  to 
Cenozoic",2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Intrusive,IN01,"Basic Rocks (Dolerite, Anorthosite 
etc.) - Massive, Poorly Fractured","Proterozoic  to 
Cenozoic",0.35,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Intrusive,IN02,"Ultrabasics (Epidiorite, 
Granophyre etc.) - Weathered, 
Jointed","Proterozoic  to  
Cenozoic",2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Intrusive,IN02,"Ultrabasics (Epidiorite, 
Granophyre etc.) - Massive, 
Poorly Fractured","Proterozoic  to  
Cenozoic",0.35,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sl. 
No.","Principal 
Aquifer",Major Aquifers,,Age,"Recommended 
(%)","Minimum 
(%)","Maximum 
(%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Code,Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Alluvium,AL01,"Younger Alluvium (Clay/Silt/Sand/ 
Calcareous concretions)",Quaternary,22,20,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Alluvium,AL02,Pebble / Gravel/ Bazada/ Kandi,Quaternary,22,20,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Alluvium,AL03,"Older Alluvium 
(Silt/Sand/Gravel/Lithomargic clay)",Quaternary,22,20,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Alluvium,AL04,Aeolian Alluvium (Silt/ Sand),Quaternary,22,20,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Alluvium,AL05,"Coastal Alluvium (Sand/Silt/Clay) -
East Coast",Quaternary,16,14,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Alluvium,AL05,"Coastal Alluvium (Sand/Silt/Clay) - 
West Coast",Quaternary,10,8,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Alluvium,AL06,Valley Fills,Quaternary,22,20,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Alluvium,AL07,Glacial Deposits,Quaternary,22,20,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Laterite,LT01,Laterite / Ferruginous concretions,Quaternary,7,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Basalt,BS01,"Basic Rocks (Basalt) - Vesicular or 
Jointed","Mesozoic to  
Cenozoic",13,12,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Basalt,BS01,Basic Rocks (Basalt) - Weathered,"Mesozoic to  
Cenozoic",7,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Basalt,BS01,"Basic Rocks (Basalt) - Massive 
Poorly Jointed","Mesozoic to  
Cenozoic",2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Basalt,BS02,Ultra Basic - Vesicular or Jointed,"Mesozoic to  
Cenozoic",13,12,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Basalt,BS02,Ultra Basic - Weathered,"Mesozoic to  
Cenozoic",7,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Basalt,BS02,"Ultra Basic - Massive Poorly 
Jointed","Mesozoic to  
Cenozoic",2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Sandstone,ST01,Sandstone/Conglomerate,"Upper 
Palaeozoic to 
Cenozoic",12,10,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Sandstone,ST02,Sandstone with Shale,"Upper 
Palaeozoic to 
Cenozoic",12,10,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Sandstone,ST03,Sandstone with shale/ coal beds,"Upper 
Palaeozoic to 
Cenozoic",12,10,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Sandstone,ST04,Sandstone with Clay,"Upper 
Palaeozoic to 
Cenozoic",12,10,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Sandstone,ST05,Sandstone/Conglomerate,"Proterozoic to 
Cenozoic",6,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Sandstone,ST06,Sandstone with Shale,"Proterozoic to 
Cenozoic",6,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Shale,SH01,Shale with limestone,"Upper 
Palaeozoic to 
Cenozoic",4,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Shale,SH02,Shale with Sandstone,"Upper 
Palaeozoic to 
Cenozoic",4,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sl. 
No.","Principal 
Aquifer",Major Aquifers,,Age,"Recommended 
(%)","Minimum 
(%)","Maximum 
(%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Code,Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Shale,SH03,"Shale, limestone and sandstone","Upper 
Palaeozoic to 
Cenozoic",4,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Shale,SH04,Shale,"Upper 
Palaeozoic to 
Cenozoic",4,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Shale,SH05,Shale/Shale with Sandstone,"Proterozoic to 
Cenozoic",4,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Shale,SH06,Shale with Limestone,"Proterozoic to 
Cenozoic",4,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Limestone,LS01,Miliolitic Limestone,Quarternary,6,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Limestone,LS02,Limestone / Dolomite,"Upper 
Palaeozoic to 
Cenozoic",6,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Limestone,LS03,Limestone/Dolomite,Proterozoic,6,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Limestone,LS04,Limestone with Shale,Proterozoic,6,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Limestone,LS05,Marble,"Azoic to 
Proterozoic",6,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Granite,GR01,"Acidic Rocks (Granite,Syenite, 
Rhyolite etc.) - Weathered , Jointed","Mesozoic to 
Cenozoic",7,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Granite,GR01,"Acidic Rocks (Granite,Syenite, 
Rhyolite etc.)-Massive or Poorly 
Fractured","Mesozoic to 
Cenozoic",2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Granite,GR02,"Acidic Rocks (Pegmatite, Granite, 
Syenite, Rhyolite etc.) - Weathered, 
Jointed","Proterozoic  to  
Cenozoic",11,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Granite,GR02,"Acidic Rocks (Pegmatite, Granite, 
Syenite, Rhyolite etc.) - Massive, 
Poorly Fractured","Proterozoic  to  
Cenozoic",2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Schist,SC01,"Schist - Weathered, Jointed","Azoic to 
Proterozoic",7,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Schist,SC01,"Schist - Massive, Poorly Fractured","Azoic to 
Proterozoic",2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Schist,SC02,Phyllite,"Azoic to 
Proterozoic",4,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Schist,SC03,Slate,"Azoic to 
Proterozoic",4,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Quartzite,QZ01,"Quartzite - Weathered, Jointed","Proterozoic to 
Cenozoic",6,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Quartzite,QZ01,"Quartzite - Massive, Poorly 
Fractured","Proterozoic to 
Cenozoic",2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Quartzite,QZ02,"Quartzite - Weathered, Jointed","Azoic to 
Proterozoic",6,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Quartzite,QZ02,"Quartzite- Massive, Poorly 
Fractured","Azoic to 
Proterozoic",2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Charnockite,CK01,"Charnockite - Weathered, Jointed",Azoic,5,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Charnockite,CK01,"Charnockite - Massive, Poorly 
Fractured",Azoic,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Khondalite,KH01,"Khondalites, Granulites - 
Weathered, Jointed",Azoic,7,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Khondalite,KH01,"Khondalites, Granulites - Mssive, 
Poorly Fractured",Azoic,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"Banded 
Gneissic 
Complex",BG01,"Banded Gneissic Complex - 
Weathered, Jointed",Azoic,7,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"Banded 
Gneissic 
Complex",BG01,"Banded Gneissic Complex - 
Massive, Poorly Fractured",Azoic,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Gneiss,GN01,"Undifferentiated 
metasedimentaries/ 
Undifferentiated metamorphic - 
Weathered, Jointed","Azoic to 
Proterozoic",7,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Gneiss,GN01,"Undifferentiated 
metasedimentaries/ 
Undifferentiated metamorphic - 
Massive, Poorly Fractured","Azoic to 
Proterozoic",2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Gneiss,GN02,"Gneiss -Weathered, Jointed","Azoic to 
Proterozoic",11,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Gneiss,GN02,"Gneiss-Massive, Poorly Fractured","Azoic to 
Proterozoic",2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Gneiss,GN03,"Migmatitic Gneiss - Weathered, 
Jointed",Azoic,7,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Gneiss,GN03,"Migmatitic Gneiss - Massive, 
Poorly Fractured",Azoic,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sl. 
No.","Principal 
Aquifer",Major Aquifers,,Age,"Recommended 
(%)","Minimum 
(%)","Maximum 
(%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Code,Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Intrusive,IN01,"Basic Rocks (Dolerite, Anorthosite 
etc.) - Weathered, Jointed","Proterozoic  to 
Cenozoic",7,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Intrusive,IN01,"Basic Rocks (Dolerite, Anorthosite 
etc.) - Massive, Poorly Fractured","Proterozoic  to 
Cenozoic",2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Intrusive,IN02,"Ulrta Basics (Epidiorite, 
Granophyre etc.) - Weathered, 
Jointed","Proterozoic  to  
Cenozoic",7,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Intrusive,IN02,"Ulrta Basics (Epidiorite, 
Granophyre etc.) - Massive, Poorly 
Fractured","Proterozoic  to  
Cenozoic",2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formation,"Canal Seepage factor ham/day/million 
square meters of wetted area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Recommended,Minimum,Maximum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Unlined canals in normal soils with 
some clay content along with sand",17.5,15,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Unlined canals in sandy soil with 
some silt content",27.5,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lined canals in normal soils with 
some clay content along with sand",3.5,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lined canals in sandy soil with 
some silt content",5.5,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All canals in hard rock area,3.5,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DTW 
m bgl",Ground Water,,Surface Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Paddy,Non-paddy,Paddy,Non-paddy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
≤ 10,45.0,25.0,50.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,43.3,23.7,48.3,28.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,40.4,22.1,45.1,26.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,37.7,20.6,42.1,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,35.2,19.2,39.3,23.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,32.9,17.9,36.7,21.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,30.7,16.7,34.3,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,28.7,15.6,32.0,18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,26.8,14.6,29.9,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,25.0,13.6,27.9,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,23.3,12.7,26.0,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21.7,11.9,24.3,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,20.3,11.1,22.7,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,18.9,10.4,21.2,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,17.6,9.7,19.8,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table-3.1: District wise annual rainfall and departure during 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual Rainfall (mm),,"Departure 
(%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Actual,Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahamadnagar,3.3,0.0,11.1,0.0,0.1,58.9,109.4,24.1,207.0,7.4,46.2,18.8,714.0,761.6,-6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akola,0.2,0.0,11.6,0.0,0.0,30.3,294.2,41.2,143.9,1.7,56.1,4.3,792.8,892.1,-11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amravati,4.4,0.0,15.4,0.0,0.6,59.9,317.4,63.2,175.0,6.8,49.6,6.2,1259.3,1971.1,-36%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurangabad,4.4,0.0,20.4,0.0,0.0,66.9,178.9,44.2,247.3,2.7,87.3,27.4,629.9,729.4,-14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beed,1.0,0.0,13.8,0.0,0.0,55.1,178.0,30.7,183.4,6.2,50.2,13.5,1027.8,1057.6,-3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhandara,4.9,0.0,22.1,0.0,0.0,175.8,446.4,243.1,276.5,6.8,14.5,9.0,864.2,908.4,-5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buldhana,1.7,0.0,21.2,0.0,0.2,33.7,284.8,71.8,197.8,0.7,83.1,19.2,1186.8,1368.3,-13%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chandrapur,1.3,0.0,14.3,0.0,0.0,83.7,552.8,175.1,266.8,5.2,8.3,4.4,805.9,1108.2,-27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dhule,0.5,0.0,12.0,0.0,0.0,70.2,157.8,42.1,166.5,2.3,30.3,7.4,1112.0,1159.0,-4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gadchiroli,1.8,0.0,21.4,0.0,0.0,141.2,635.0,324.5,329.1,8.1,2.5,3.9,1199.0,1250.0,-4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gondia,2.9,0.0,27.1,0.0,0.0,218.2,408.7,181.1,304.6,12.1,16.9,15.2,621.0,868.7,-29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
